Legacy class name	Default ns class name	New ns class name	Notes
Ac_I_ApplicationComponent	\Avancore\I\ApplicationComponent	\Avancore\Interface\ApplicationComponentInterface	
Ac_I_ArraySerializable	\Avancore\I\ArraySerializable	\Avancore\Interface\ArraySerializableInterface	
Ac_I_ArraySerializable_Extended	\Avancore\I\ArraySerializable\Extended	\Avancore\Interface\ArraySerializableExtendedInterface	
Ac_I_BatchAwareMapper	\Avancore\I\BatchAwareMapper	\Avancore\Interface\BatchAwareMapperInterface	
Ac_I_CollectionAwareObject	\Avancore\I\CollectionAwareObject	\Avancore\Interface\CollectionAwareObjectInterface	
Ac_I_Compat	\Avancore\I\Compat	\Avancore\Interface\CompatInterface	
Ac_I_Controller	\Avancore\I\Controller	\Avancore\Interface\ControllerInterface	
Ac_I_Decorator	\Avancore\I\Decorator	\Avancore\Interface\DecoratorInterface	
Ac_I_Decorator_Model	\Avancore\I\Decorator\Model	\Avancore\Interface\DecoratorModelInterface	
Ac_I_EnumProvider	\Avancore\I\EnumProvider	\Avancore\Interface\EnumProviderInterface	
Ac_I_Getter	\Avancore\I\Getter	\Avancore\Interface\GetterInterface	
Ac_I_Jsable	\Avancore\I\Jsable	\Avancore\Interface\JsableInterface	
Ac_I_Lang_ResourceProvider	\Avancore\I\Lang\ResourceProvider	\Avancore\Interface\LangResourceProviderInterface	
Ac_I_LifecycleAwareCollection	\Avancore\I\LifecycleAwareCollection	\Avancore\Interface\LifecycleAwareCollectionInterface	
Ac_I_Mail_Address	\Avancore\I\Mail\Address	\Avancore\Interface\MailAddressInterface	
Ac_I_Mail_Attachment	\Avancore\I\Mail\Attachment	\Avancore\Interface\MailAttachmentInterface	
Ac_I_Mail_ExtendedMessage	\Avancore\I\Mail\ExtendedMessage	\Avancore\Interface\MailExtendedMessageInterface	
Ac_I_Mail_Message	\Avancore\I\Mail\Message	\Avancore\Interface\MailMessageInterface	
Ac_I_Mail_Sender	\Avancore\I\Mail\Sender	\Avancore\Interface\MailSenderInterface	
Ac_I_Mail_Sender_Smtp	\Avancore\I\Mail\Sender\Smtp	\Avancore\Interface\MailSmtpSenderInterface	
Ac_I_Mail_Sender_WithDump	\Avancore\I\Mail\Sender\WithDump	\Avancore\Interface\MailDumpingSenderInterface	
Ac_I_Mixable	\Avancore\I\Mixable	\Avancore\Interface\MixableInterface	
Ac_I_Mixable_Shared	\Avancore\I\Mixable\Shared	\Avancore\Interface\SharedMixableInterface	
Ac_I_Mixable_WithInit	\Avancore\I\Mixable\WithInit	\Avancore\Interface\MixableWithInitInterface	
Ac_I_Mixin	\Avancore\I\Mixin	\Avancore\Interface\MixinInterface	
Ac_I_ModelAssociation	\Avancore\I\ModelAssociation	\Avancore\Interface\ModelAssociationInterface	
Ac_I_NamedApplicationComponent	\Avancore\I\NamedApplicationComponent	\Avancore\Interface\NamedApplicationComponentInterface	
Ac_I_ObjectsCollection	\Avancore\I\ObjectsCollection	\Avancore\Interface\ObjectsCollectionInterface	
Ac_I_Param	\Avancore\I\Param	\Avancore\Interface\ParamInterface	
Ac_I_Param_Source	\Avancore\I\Param\Source	\Avancore\Interface\ParamSourceInterface	
Ac_I_PhpExpression	\Avancore\I\PhpExpression	\Avancore\Interface\PhpExpressionInterface	
Ac_I_PhpExpression_Extended	\Avancore\I\PhpExpression\Extended	\Avancore\Interface\ExtendedPhpExpressionInterface	
Ac_I_Prototyped	\Avancore\I\Prototyped	\Avancore\Interface\PrototypedInterface	
Ac_I_RedirectTarget	\Avancore\I\RedirectTarget	\Avancore\Interface\RedirectTargetInterface	
Ac_I_Search_Criterion_Bulk	\Avancore\I\Search\Criterion\Bulk	\Avancore\Interface\BulkSearchCriterionInterface	
Ac_I_Search_Criterion_ExtendedSort	\Avancore\I\Search\Criterion\ExtendedSort	\Avancore\Interface\ExtendedSearchCriterionInterface	
Ac_I_Search_Criterion_Search	\Avancore\I\Search\Criterion\Search	\Avancore\Interface\SearchCriterionInterface	
Ac_I_Search_Criterion_Sort	\Avancore\I\Search\Criterion\Sort	\Avancore\Interface\SortSearchCriterionInterface	
Ac_I_Search_FilterProvider	\Avancore\I\Search\FilterProvider	\Avancore\Interface\SearchFilterProviderInterface	
Ac_I_Search_RecordProvider	\Avancore\I\Search\RecordProvider	\Avancore\Interface\SearchRecordProviderInterface	
Ac_I_Sql_Expression	\Avancore\I\Sql\Expression	\Avancore\Interface\SqlExpressionInterface	
Ac_I_Tree_Mapper	\Avancore\I\Tree\Mapper	\Avancore\Interface\TreeMapperInterface	
Ac_I_Tree_Mapper_AdjacencyList	\Avancore\I\Tree\Mapper\AdjacencyList	\Avancore\Interface\AdjacencyListTreeMapperInterface	
Ac_I_Tree_Mapper_Combo	\Avancore\I\Tree\Mapper\Combo	\Avancore\Interface\ComboTreeMapperInterface	
Ac_I_Tree_Mapper_NestedSets	\Avancore\I\Tree\Mapper\NestedSets	\Avancore\Interface\NestedSetsTreeMapperInterface	
Ac_I_Tree_Node	\Avancore\I\Tree\Node	\Avancore\Interface\TreeNodeInterface	
Ac_I_Tree_Provider	\Avancore\I\Tree\Provider	\Avancore\Interface\TreeProviderInterface	
Ac_I_User	\Avancore\I\User	\Avancore\Interface\UserInterface	
Ac_I_UserProvider	\Avancore\I\UserProvider	\Avancore\Interface\UserProviderInterface	
Ac_I_WithCleanup	\Avancore\I\WithCleanup	\Avancore\Interface\WithCleanupInterface	
Ac_I_WithEvents	\Avancore\I\WithEvents	\Avancore\Interface\WithEventsInterface	
Ac_I_WithMapper	\Avancore\I\WithMapper	\Avancore\Interface\WithMapperInterface	
Ac_I_WithMethods	\Avancore\I\WithMethods	\Avancore\Interface\WithMethodsInterface	
Ac_I_WithSqlSelectPrototype	\Avancore\I\WithSqlSelectPrototype	\Avancore\Interface\WithSqlSelectPrototypeInterface	
Ac_Impl_ArraySerializer	\Avancore\Impl\ArraySerializer	\Avancore\Util\ArraySerializer	
Ac_Impl_Cleanup	\Avancore\Impl\Cleanup	\Avancore\Util\Cleanup	
Ac_Js	\Avancore\Js	\Avancore\Js\Js	
Ac_Js_Call	\Avancore\Js\Call		
Ac_Js_Code	\Avancore\Js\Code		
Ac_Js_Hash	\Avancore\Js\Hash		
Ac_Js_New	\Avancore\Js\New	\Avancore\Js\NewOperator	
Ac_Js_Object	\Avancore\Js\Object	\Avancore\Js\Object\Object	
Ac_Js_Object_Assign	\Avancore\Js\Object\Assign		
Ac_Js_Object_Init	\Avancore\Js\Object\Init		
Ac_Js_Object_Ref	\Avancore\Js\Object\Ref		
Ac_Js_Script	\Avancore\Js\Script		
Ac_Js_String	\Avancore\Js\String		
Ac_Js_Val	\Avancore\Js\Val		
Ac_Js_Var	\Avancore\Js\Var		
Ac_Lang_Resource	\Avancore\Lang\Resource	\Avancore\Lang\LangResource	
Ac_Lang_ResourceProvider_Dir	\Avancore\Lang\ResourceProvider\Dir	\Avancore\Lang\DirectoryLangResourceProvider	
Ac_Lang_String	\Avancore\Lang\String	\Avancore\Lang\LangString	
Ac_Mail_Address	\Avancore\Mail\Address		
Ac_Mail_Attachment	\Avancore\Mail\Attachment		
Ac_Mail_Message	\Avancore\Mail\Message		
Ac_Mail_PHPMailer_Mail	\Avancore\Mail\PHPMailer\Mail	\Avancore\Mail\PHPMailerSender\Mail	
Ac_Mail_PHPMailer_SendMail	\Avancore\Mail\PHPMailer\SendMail	\Avancore\Mail\PHPMailerSender\SendMail	
Ac_Mail_PHPMailer_Smtp	\Avancore\Mail\PHPMailer\Smtp	\Avancore\Mail\PHPMailerSender\Smtp	
Ac_Mail_Sender_PHPMailer	\Avancore\Mail\Sender\PHPMailer	\Avancore\Mail\PHPMailerSender\Abstract	
Ac_Mail_Util	\Avancore\Mail\Util		
Ac_Mixable	\Avancore\Mixable		
Ac_Mixin	\Avancore\Mixin	\Avancore\Mixin\Mixin	
Ac_Mixin_WithEvents	\Avancore\Mixin\WithEvents	\Avancore\Mixin\MixinWithEvents	
Ac_Model_Association_Abstract	\Avancore\Model\Association\Abstract	\Avancore\Model\Association\AbstractAssociation	
Ac_Model_Association_Many	\Avancore\Model\Association\Many	\Avancore\Model\Association\ManyAssociation	
Ac_Model_Association_ManyToMany	\Avancore\Model\Association\ManyToMany	\Avancore\Model\Association\ManyToManyAssociation	
Ac_Model_Association_One	\Avancore\Model\Association\One	\Avancore\Model\Association\OneAssociation	
Ac_Model_Collection_Abstract	\Avancore\Model\Collection\Abstract	\Avancore\Model\Collection\AbstractCollection	
Ac_Model_Collection_Array	\Avancore\Model\Collection\Array	\Avancore\Model\Collection\ArrayCollection	
Ac_Model_Collection_Mapper	\Avancore\Model\Collection\Mapper	\Avancore\Model\Collection\MapperCollection	
Ac_Model_Collection_SqlMapper	\Avancore\Model\Collection\SqlMapper	\Avancore\Model\Collection\SqlMapperCollection	
Ac_Model_Criterion_Callback	\Avancore\Model\Criterion\Callback	\Avancore\Model\Criterion\CallbackCriterion	
Ac_Model_Criterion_FieldEquals	\Avancore\Model\Criterion\FieldEquals	\Avancore\Model\Criterion\FieldEqualsCriterion	
Ac_Model_Criterion_Identifier	\Avancore\Model\Criterion\Identifier	\Avancore\Model\Criterion\IdentifierCriterion	
Ac_Model_Criterion_MultiField	\Avancore\Model\Criterion\MultiField	\Avancore\Model\Criterion\MultiFieldCriterion	
Ac_Model_Data	\Avancore\Model\Data	\Avancore\Model\DataObject	
Ac_Model_DateTime	\Avancore\Model\DateTime	\Avancore\Util\DateTime	
Ac_Model_Mapper	\Avancore\Model\Mapper		
Ac_Model_MapperInfo	\Avancore\Model\MapperInfo		
Ac_Model_Mapper_Mixable_ExtraTable	\Avancore\Model\Mapper\Mixable\ExtraTable	\Avancore\Model\MapperMixable\ExtraTable	
Ac_Model_Mixable_Data	\Avancore\Model\Mixable\Data	\Avancore\Model\ModelMixable\Data	
Ac_Model_Mixable_Dates	\Avancore\Model\Mixable\Dates	\Avancore\Model\ModelMixable\Dates	
Ac_Model_Mixable_ExtraTable	\Avancore\Model\Mixable\ExtraTable	\Avancore\Model\ModelMixable\ExtraTable	
Ac_Model_Mixable_Object	\Avancore\Model\Mixable\Object	\Avancore\Model\ModelMixable\Object	
Ac_Model_Object	\Avancore\Model\Object	\Avancore\Model\PersistentObject	
Ac_Model_Property	\Avancore\Model\Property		
Ac_Model_Record	\Avancore\Model\Record	\Avancore\Model\Record	
Ac_Model_Relation	\Avancore\Model\Relation	\Avancore\Model\Relation\SymmetricRelation	
Ac_Model_Relation_Abstract	\Avancore\Model\Relation\Abstract	\Avancore\Model\Relation\AbstractRelation	
Ac_Model_Relation_Impl	\Avancore\Model\Relation\Impl	\Avancore\Model\Relation\AsymmetricRelation	
Ac_Model_Relation_Provider	\Avancore\Model\Relation\Provider	\Avancore\Model\Relation\ObjectsProvider\AbstractObjectsProvider	
Ac_Model_Relation_Provider_Evaluator	\Avancore\Model\Relation\Provider\Evaluator	\Avancore\Model\Relation\ProviderConfigurator	
Ac_Model_Relation_Provider_Mapper_Abstract	\Avancore\Model\Relation\Provider\Mapper\Abstract	\Avancore\Model\Relation\ObjectsProvider\AbstractMapperProvider	
Ac_Model_Relation_Provider_Mapper_Omni	\Avancore\Model\Relation\Provider\Mapper\Omni	\Avancore\Model\Relation\ObjectsProvider\OmniMapperProvider	
Ac_Model_Relation_Provider_Mapper_Pk	\Avancore\Model\Relation\Provider\Mapper\Pk	\Avancore\Model\Relation\ObjectsProvider\PrimaryKeyMapperProvider	
Ac_Model_Relation_Provider_Sql	\Avancore\Model\Relation\Provider\Sql	\Avancore\Model\Relation\ObjectsProvider\AbstractSqlProvider	
Ac_Model_Relation_Provider_Sql_Omni	\Avancore\Model\Relation\Provider\Sql\Omni	\Avancore\Model\Relation\ObjectsProvider\OmniSqlProvider	
Ac_Model_Search	\Avancore\Model\Search		
Ac_Model_SortCriterion_Callback	\Avancore\Model\SortCriterion\Callback	\Avancore\Model\SortCriterion\CallbackCriterion	
Ac_Model_SortCriterion_Field	\Avancore\Model\SortCriterion\Field	\Avancore\Model\SortCriterion\SingleFieldCriterion	
Ac_Model_SortCriterion_Fields	\Avancore\Model\SortCriterion\Fields	\Avancore\Model\SortCriterion\MultipleFieldsCriterion	
Ac_Model_Sql_TableProvider	\Avancore\Model\Sql\TableProvider		
Ac_Model_Storage	\Avancore\Model\Storage	\Avancore\Model\Storage\AbstractStorage	
Ac_Model_Storage_InspectionResult	\Avancore\Model\Storage\InspectionResult		x
Ac_Model_Storage_MonoTable	\Avancore\Model\Storage\MonoTable	\Avancore\Model\Storage\MonoTableStorage	
Ac_Model_Storage_Sql	\Avancore\Model\Storage\Sql	\Avancore\Model\Storage\SqlStorage	
Ac_Model_Tree_AbstractImpl	\Avancore\Model\Tree\AbstractImpl		
Ac_Model_Tree_AdjacencyListImpl	\Avancore\Model\Tree\AdjacencyListImpl		
Ac_Model_Tree_AdjacencyListMapper	\Avancore\Model\Tree\AdjacencyListMapper		
Ac_Model_Tree_ComboImpl	\Avancore\Model\Tree\ComboImpl		
Ac_Model_Tree_ComboMapper	\Avancore\Model\Tree\ComboMapper		
Ac_Model_Tree_NestedSetsDebug	\Avancore\Model\Tree\NestedSetsDebug		
Ac_Model_Tree_NestedSetsImpl	\Avancore\Model\Tree\NestedSetsImpl		
Ac_Model_Tree_NestedSetsMapper	\Avancore\Model\Tree\NestedSetsMapper		
Ac_Model_Tree_Object	\Avancore\Model\Tree\Object	\Avancore\Model\Tree\TreeObject	
Ac_Model_Tree_Provider	\Avancore\Model\Tree\Provider		?
Ac_Model_Typer_Abstract	\Avancore\Model\Typer\Abstract	\Avancore\Model\Typer\AbstractTyper	
Ac_Model_Typer_ExtraTable	\Avancore\Model\Typer\ExtraTable	\Avancore\Model\Typer\ExtraTableTyper	
Ac_Model_Typer_Simple	\Avancore\Model\Typer\Simple	\Avancore\Model\Typer\SimpleTyper	
Ac_Model_Validator	\Avancore\Model\Validator		
Ac_Model_Values	\Avancore\Model\Values	\Avancore\Model\Values\Values	
Ac_Model_Values_Files	\Avancore\Model\Values\Files		
Ac_Model_Values_Mapper	\Avancore\Model\Values\Mapper		
Ac_Prototyped	\Avancore\Prototyped		
Ac_Sql_Blocker	\Avancore\Sql\Blocker		
Ac_Sql_Db	\Avancore\Sql\Db	\Avancore\Sql\Db\AbstractDb	
Ac_Sql_Db_Mysqli	\Avancore\Sql\Db\Mysqli	\Avancore\Sql\Db\MysqliDb	
Ac_Sql_Db_Pdo	\Avancore\Sql\Db\Pdo	\Avancore\Sql\Db\PdoDb	
Ac_Sql_Dbi_Column	\Avancore\Sql\Dbi\Column		
Ac_Sql_Dbi_Database	\Avancore\Sql\Dbi\Database		
Ac_Sql_Dbi_Index	\Avancore\Sql\Dbi\Index		
Ac_Sql_Dbi_Inspector	\Avancore\Sql\Dbi\Inspector	\Avancore\Sql\Dbi\Inspector\BasicInspector	
Ac_Sql_Dbi_Inspector_Canned	\Avancore\Sql\Dbi\Inspector\Canned	\Avancore\Sql\Dbi\Inspector\CannedInspector	
Ac_Sql_Dbi_Inspector_MsSql	\Avancore\Sql\Dbi\Inspector\MsSql	\Avancore\Sql\Dbi\Inspector\MsSqlInspector	
Ac_Sql_Dbi_Inspector_MySql5	\Avancore\Sql\Dbi\Inspector\MySql5	\Avancore\Sql\Dbi\Inspector\MySql5Inspector	
Ac_Sql_Dbi_Object	\Avancore\Sql\Dbi\Object		
Ac_Sql_Dbi_Relation	\Avancore\Sql\Dbi\Relation		
Ac_Sql_Dbi_Table	\Avancore\Sql\Dbi\Table		
Ac_Sql_Dbi_TableProvider	\Avancore\Sql\Dbi\TableProvider		
Ac_Sql_Dialect	\Avancore\Sql\Dialect	\Avancore\Sql\Dialect\AbstractDialect	
Ac_Sql_Dialect_Mssql	\Avancore\Sql\Dialect\Mssql	\Avancore\Sql\Dialect\MssqlDialect	
Ac_Sql_Dialect_Mysql	\Avancore\Sql\Dialect\Mysql	\Avancore\Sql\Dialect\MysqlDialect	
Ac_Sql_Dialect_Pgsql	\Avancore\Sql\Dialect\Pgsql	\Avancore\Sql\Dialect\PgsqlDialect	
Ac_Sql_Expression	\Avancore\Sql\Expression	\Avancore\Sql\Expression\SqlExpression	
Ac_Sql_Expression_Complex	\Avancore\Sql\Expression\Complex	\Avancore\Sql\Expression\ComplexSqlExpression	
Ac_Sql_Filter	\Avancore\Sql\Filter	\Avancore\Sql\Filter\AbstractFilter	
Ac_Sql_Filter_Custom	\Avancore\Sql\Filter\Custom	\Avancore\Sql\Filter\CustomFilter	
Ac_Sql_Filter_Equals	\Avancore\Sql\Filter\Equals	\Avancore\Sql\Filter\EqualsFilter	
Ac_Sql_Filter_Multiple	\Avancore\Sql\Filter\Multiple	\Avancore\Sql\Filter\MultipleFilter	
Ac_Sql_Filter_NNCriterion	\Avancore\Sql\Filter\NNCriterion	\Avancore\Sql\Filter\ManyToManyFilter\AbstracManyToManyFilter	
Ac_Sql_Filter_NNCriterion_Omni	\Avancore\Sql\Filter\NNCriterion\Omni	\Avancore\Sql\Filter\NNCriterion\OmniManyToManyFilter	
Ac_Sql_Filter_NNCriterion_Simple	\Avancore\Sql\Filter\NNCriterion\Simple	\Avancore\Sql\Filter\NNCriterion\SimpleManyToManyFilter	
Ac_Sql_Filter_Range	\Avancore\Sql\Filter\Range	\Avancore\Sql\Filter\RangeFilter	
Ac_Sql_Filter_Simple	\Avancore\Sql\Filter\Simple	\Avancore\Sql\Filter\SimpleFilter	
Ac_Sql_Filter_String	\Avancore\Sql\Filter\String	\Avancore\Sql\Filter\StringFilter	
Ac_Sql_Filter_Substring	\Avancore\Sql\Filter\Substring	\Avancore\Sql\Filter\SubstringFilter	
Ac_Sql_Filter_Switcher	\Avancore\Sql\Filter\Switcher	\Avancore\Sql\Filter\SwitcherFilter	
Ac_Sql_NestedSets	\Avancore\Sql\NestedSets		
Ac_Sql_Order	\Avancore\Sql\Order	\Avancore\Sql\Sorter\AbstractSorter	
Ac_Sql_Order_Columns	\Avancore\Sql\Order\Columns	\Avancore\Sql\Sorter\ColumnsSorter	
Ac_Sql_Order_Multiple	\Avancore\Sql\Order\Multiple	\Avancore\Sql\Sorter\MultipleSorter	
Ac_Sql_Order_Simple	\Avancore\Sql\Order\Simple	\Avancore\Sql\Sorter\SimpleSorter	
Ac_Sql_Order_Switcher	\Avancore\Sql\Order\Switcher	\Avancore\Sql\Sorter\SwitcherSorter	
Ac_Sql_Part	\Avancore\Sql\Part		
Ac_Sql_RefChecker	\Avancore\Sql\RefChecker		
Ac_Sql_Select	\Avancore\Sql\Select	\Avancore\Sql\Select\Select	
Ac_Sql_Select_Expression	\Avancore\Sql\Select\Expression		
Ac_Sql_Select_Table	\Avancore\Sql\Select\Table	\Avancore\Sql\Select\Table\Table	
Ac_Sql_Select_TableProvider	\Avancore\Sql\Select\TableProvider		
Ac_Sql_Select_Table_Clone	\Avancore\Sql\Select\Table\Clone	\Avancore\Sql\Select\Table\ClonedTable	
Ac_Sql_Select_Table_Subquery	\Avancore\Sql\Select\Table\Subquery	\Avancore\Sql\Select\Table\SubqueryTable	
Ac_Sql_Statement	\Avancore\Sql\Statement		
Ac_Sql_Statement_Cache	\Avancore\Sql\Statement\Cache		
Ac_Sql_Updater	\Avancore\Sql\Updater		
Ac_Sql_Value	\Avancore\Sql\Value	\Avancore\Sql\SqlValue	
Ac_Table	\Avancore\Table	\Avancore\Table\Table	
Ac_Table_Column	\Avancore\Table\Column	\Avancore\Table\Column\Column	
Ac_Table_Column_Checked	\Avancore\Table\Column\Checked	\Avancore\Table\Column\CheckedColumn	
Ac_Table_Column_Link	\Avancore\Table\Column\Link	\Avancore\Table\Column\LinkColumn	
Ac_Table_Column_MarkChanges	\Avancore\Table\Column\MarkChanges	\Avancore\Table\Column\MarkChangesColumn	
Ac_Table_Column_Number	\Avancore\Table\Column\Number	\Avancore\Table\Column\NumberColumn	
Ac_Table_Column_Published	\Avancore\Table\Column\Published	\Avancore\Table\Column\PublishedColumn	
Ac_Table_Column_Reorder	\Avancore\Table\Column\Reorder	\Avancore\Table\Column\ReorderColumn	
Ac_Table_Column_SaveOrder	\Avancore\Table\Column\SaveOrder	\Avancore\Table\Column\SaveOrderColumn	
Ac_Table_Sequential	\Avancore\Table\Sequential	\Avancore\Table\SequentialTable	
Ac_Template	\Avancore\Template	\Avancore\Template\Template	
Ac_Template_Helper	\Avancore\Template\Helper	\Avancore\Template\Helper\AbstractHelper	?
Ac_Template_Helper_Html	\Avancore\Template\Helper\Html	\Avancore\Template\Helper\HtmlHelper	?
Ac_Template_Html	\Avancore\Template\Html	\Avancore\Template\HtmlTemplate	
Ac_Template_HtmlPage	\Avancore\Template\HtmlPage	\Avancore\Template\HtmlPagePage	
Ac_Template_JoomlaPage	\Avancore\Template\JoomlaPage	\Avancore\Template\JoomlaPagePage	
Ac_Url	\Avancore\Url	\Avancore\Uri	
Ac_UrlMapper_Pattern	\Avancore\UrlMapper\Pattern	\Avancore\Rewriter\Pattern	
Ac_UrlMapper_StaticSignatures	\Avancore\UrlMapper\StaticSignatures	\Avancore\Rewriter\StaticSignaturesRewriter	
Ac_UrlMapper_UrlMapper	\Avancore\UrlMapper\UrlMapper	\Avancore\Rewriter\BasicRewriter	
Ac_Util	\Avancore\Util	\Avancore\Util\Util	
Ac_Util_AssetRenderer	\Avancore\Util\AssetRenderer		
Ac_Util_CallUserFunc	\Avancore\Util\CallUserFunc		
Ac_Util_Cli	\Avancore\Util\Cli	\Avancore\Util\CommandArgsParser	
Ac_Util_Csv	\Avancore\Util\Csv	\Avancore\Util\CsvReader\CsvReader	
Ac_Util_Csv_Sections	\Avancore\Util\Csv\Sections	\Avancore\Util\CsvReader\SectionsCsvReader	
Ac_Util_DeleteOldFiles	\Avancore\Util\DeleteOldFiles	\Avancore\Util\OldFilesDeleter	
Ac_Util_Lock	\Avancore\Util\Lock	\Avancore\Util\Locker	
Ac_Util_Periodic	\Avancore\Util\Periodic	\Avancore\Util\PeriodicExecutor	
Ac_Util_Php	\Avancore\Util\Php	\Avancore\Util\PhpCodeUtil	
